kind,shape_sig,dtype,v3_id,v4_id,v3_e2e_us,v4_e2e_us,diff_v3_minus_v4_us,ratio_v3_over_v4,v3_device_us,v4_device_us
varlen,"q:256,4,32/fp16 | k:33,1,32/fp16 | v:33,1,32/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,156,155,1130.71,977.39,153.32,1.157,,
varlen,"q:65,8,64/fp16 | k:2,8,64/fp16 | v:2,8,64/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,165,156,2140.76,984.2,1156.56,2.175,,
varlen,"q:129,1,256/fp16 | k:8,1,256/fp16 | v:8,1,256/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,168,161,2723.69,961.7,1761.99,2.832,,
varlen,"q:65,2,256/fp16 | k:65,1,256/fp16 | v:65,1,256/fp16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",fp16,175,168,3532.95,2316.84,1216.1,1.525,,
varlen,"q:2,8,128/bf16 | k:128,4,128/bf16 | v:128,4,128/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,177,175,2139.89,1023.05,1116.84,2.092,,
varlen,"q:65,4,128/fp16 | k:128,4,128/fp16 | v:128,4,128/fp16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",fp16,178,182,2385.78,2331.17,54.61,1.023,,
varlen,"q:16,16,256/fp16 | k:32,8,256/fp16 | v:32,8,256/fp16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",fp16,184,184,3282.27,2332.4,949.87,1.407,,
varlen,"q:8,2,256/fp16 | k:257,2,256/fp16 | v:257,2,256/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,192,187,4013.45,2319.42,1694.03,1.73,,
varlen,"q:64,8,256/fp16 | k:64,4,256/fp16 | v:64,4,256/fp16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",fp16,195,191,3589.04,2349.64,1239.4,1.527,,
varlen,"q:1,8,256/bf16 | k:256,8,256/bf16 | v:256,8,256/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,197,196,2137.67,1003.99,1133.68,2.129,,
